Title,Year,Rating10,imdbID
"Ace Ventura: Pet Detective",1994,6,tt0109040
"Kops",2003,7,tt0339230
"Vantage Point",2008,6,tt0443274
"Into the Blue",2005,4,tt0378109
"Hard Candy",2005,8,tt0424136
"Transformers: Dark of the Moon",2011,5,tt1399103
"Transformers: Revenge of the Fallen",2009,5,tt1055369
"One Hour Photo",2002,6,tt0265459
"The Invention of Lying",2009,4,tt1058017
"The Naked Gun: From the Files of Police Squad!",1988,7,tt0095705
"Airplane!",1980,8,tt0080339
"Hot Shots! Part Deux",1993,7,tt0107144
"Hot Shots!",1991,7,tt0102059
"Blue Valentine",2010,7,tt1120985
"Fantastic Four",2005,5,tt0120667
"Fantastic Four: Rise of the Silver Surfer",2007,4,tt0486576
"Scary Movie 4",2006,4,tt0362120
"Scary Movie 3",2003,5,tt0306047
"Scary Movie 2",2001,5,tt0257106
"American Pie Presents: Beta House",2007,4,tt0974959
"The Name of the Rose",1986,5,tt0091605
"Daddy Day Care",2003,4,tt0317303
"Sky Captain and the World of Tomorrow",2004,6,tt0346156
"Restrepo",2010,8,tt1559549
"The Kingdom",2007,7,tt0431197
"Super 8",2011,7,tt1650062
"Team America: World Police",2004,6,tt0372588
"The Hangover Part II",2011,5,tt1411697
"Tomorrow Never Dies",1997,6,tt0120347
"American Hustle",2013,7,tt1800241
"Spy Kids",2001,4,tt0227538
"Brüno",2009,4,tt0889583
"Robin Hood: Men in Tights",1993,7,tt0107977
"City of Angels",1998,6,tt0120632
"Cassandra's Dream",2007,7,tt0795493
"Out of Reach",2004,3,tt0377100
"Breakheart Pass",1975,7,tt0072735
"Colombiana",2011,6,tt1657507
"Flight of the Phoenix",2004,6,tt0377062
"Ladder 49",2004,7,tt0349710
"My Dog Skip",2000,7,tt0156812
"Hardball",2001,6,tt0180734
"The Nutty Professor",1996,5,tt0117218
"Nutty Professor II: The Klumps",2000,5,tt0144528
"Heartbreakers",2001,5,tt0125022
"We Were Soldiers",2002,6,tt0277434
"Frankenhooker",1990,3,tt0099611
"The Adventures of Priscilla, Queen of the Desert",1994,8,tt0109045
"Nacho Libre",2006,5,tt0457510
"Homeward Bound II: Lost in San Francisco",1996,5,tt0116552
"Cowboys & Aliens",2011,4,tt0409847
"Instinct",1999,6,tt0128278
"The Longest Yard",2005,6,tt0398165
"Along Came Polly",2004,5,tt0343135
"A Goofy Movie",1995,7,tt0113198
"Friends with Benefits",2011,5,tt1632708
"Secret Window",2004,6,tt0363988
"The Lion King II: Simba's Pride",1998,6,tt0120131
"Balto",1995,8,tt0112453
"The Rescuers Down Under",1990,7,tt0100477
"The Rescuers",1977,7,tt0076618
"The Bear",1988,7,tt0095800
"Collateral Damage",2002,5,tt0233469
"Mr. Brooks",2007,5,tt0780571
"An Inconvenient Truth",2006,7,tt0497116
"Cruel Intentions",1999,6,tt0139134
"Funny People",2009,4,tt1201167
"Law Abiding Citizen",2009,7,tt1197624
"Roger & Me",1989,8,tt0098213
"The Horse Whisperer",1998,7,tt0119314
"Halloween",1978,6,tt0077651
"Just Married",2003,4,tt0305711
"Killer Elite",2011,7,tt1448755
"The Rum Diary",2011,7,tt0376136
"Duel",1971,7,tt0067023
"Mission: Impossible II",2000,6,tt0120755
"Monster's Ball",2001,7,tt0285742
"The Bourne Supremacy",2004,7,tt0372183
"Bridesmaids",2011,6,tt1478338
"Unforgiven",1992,7,tt0105695
"25th Hour",2002,6,tt0307901
"The Expendables 2",2012,7,tt1764651
"Good Morning, Vietnam",1987,8,tt0093105
"Secretary",2002,7,tt0274812
"Alice in Wonderland",2010,6,tt1014759
"The Girl with the Dragon Tattoo",2011,7,tt1568346
"Source Code",2011,7,tt0945513
"Moneyball",2011,7,tt1210166
"The Green Hornet",2011,5,tt0990407
"Me, Myself & Irene",2000,6,tt0183505
"Flubber",1997,5,tt0119137
"The Girl Next Door",2004,6,tt0265208
"Men in Black 3",2012,6,tt1409024
"Men in Black II",2002,6,tt0120912
"The League of Extraordinary Gentlemen",2003,5,tt0311429
"Johnny English",2003,6,tt0274166
"Silver Linings Playbook",2012,7,tt1045658
"George of the Jungle",1997,5,tt0119190
"Rat Race",2001,5,tt0250687
"Lincoln",2012,7,tt0443272
"Taxi",1998,7,tt0152930
"Peter Pan",2003,6,tt0316396
"The Place Beyond the Pines",2013,7,tt1817273
"Mystic River",2003,8,tt0327056
"Gone Baby Gone",2007,7,tt0452623
"Beasts of the Southern Wild",2012,7,tt2125435
"Wyatt Earp",1994,7,tt0111756
"Tinker Tailor Soldier Spy",2011,8,tt1340800
"Stuck on You",2003,5,tt0338466
"U.S. Marshals",1998,7,tt0120873
"The Tuxedo",2002,4,tt0290095
"Super Size Me",2004,6,tt0390521
"Solaris",2002,5,tt0307479
"Shine a Light",2008,8,tt0893382
"Revolutionary Road",2008,7,tt0959337
"Red Planet",2000,5,tt0199753
"Primeval",2007,3,tt0772193
"Patch Adams",1998,7,tt0129290
"October Sky",1999,8,tt0132477
"The Hunted",2003,4,tt0269347
"Home Alone 3",1997,4,tt0119303
"A Grand Day Out",1990,9,tt0104361
"Frequency",2000,7,tt0186151
"Food, Inc.",2008,8,tt1286537
"Finding Forrester",2000,7,tt0181536
"Dungeons & Dragons",2000,1,tt0190374
"Dreamcatcher",2003,4,tt0285531
"Involuntary",2008,5,tt1232826
"The World's End",2013,6,tt1213663
"Ragnarok",2013,5,tt2363213
"The Lone Ranger",2013,4,tt1210819
"Cellular",2004,5,tt0337921
"Crimson Tide",1995,7,tt0112740
"Rush Hour 2",2001,5,tt0266915
"A Good Day To Die Hard",2013,5,tt1606378
"Good Luck Chuck",2007,4,tt0452625
"A Dangerous Method",2011,6,tt1571222
"The English Patient",1996,6,tt0116209
"All Quiet on the Western Front",1930,7,tt0020629
"Midnight Cowboy",1969,7,tt0064665
"Patton",1970,7,tt0066206
"Slumdog Millionaire",2008,8,tt1010048
"Precious",2009,7,tt0929632
"The Descendants",2011,7,tt1033575
"M*A*S*H",1970,7,tt0066026
"The Tree of Life",2011,7,tt0478304
"John Carter",2012,4,tt0401729
"The Bourne Ultimatum",2007,7,tt0440963
"Scream",1996,7,tt0117571
"A Few Good Men",1992,7,tt0104257
"Jerry Maguire",1996,7,tt0116695
"Dr. No",1962,6,tt0055928
"Under Siege",1992,5,tt0105690
"Wild Hogs",2007,5,tt0486946
"Starship Troopers",1997,7,tt0120201
"Die Another Day",2002,6,tt0246460
"Behind Enemy Lines",2001,6,tt0159273
"Office Space",1999,8,tt0151804
"Scary Movie",2000,6,tt0175142
"My Own Private Idaho",1991,5,tt0102494
"Free Willy",1993,6,tt0106965
"A Bridge Too Far",1977,7,tt0075784
"The Man Who Loved Yngve",2008,7,tt1114723
"Mission: Impossible III",2006,7,tt0317919
"Sleepless In Seattle",1993,6,tt0108160
"Beverly Hills Cop II",1987,6,tt0092644
"Munich",2005,8,tt0408306
"The Island",2005,7,tt0399201
"You Were Never Really Here",2017,6,tt5742374
"Spring Breakers",2013,4,tt2101441
"Thirteen",2003,6,tt0328538
"Up in the Air",2009,7,tt1193138
"Seven Psychopaths",2012,7,tt1931533
"Wallace & Gromit: The Curse of the Were-Rabbit",2005,7,tt0312004
"Godzilla",2014,6,tt0831387
"Freaky Friday",2003,5,tt0322330
"Déjà Vu",2006,6,tt0453467
"Hollow Man",2000,4,tt0164052
"The Shape of Water",2017,7,tt5580390
"Headhunters",2011,7,tt1614989
"The Polar Express",2004,6,tt0338348
"Captain Phillips",2013,7,tt1535109
"Transformers",2007,7,tt0418279
"Anchorman: The Legend of Ron Burgundy",2004,6,tt0357413
"On the Waterfront",1954,7,tt0047296
"My Neighbor Totoro",1988,9,tt0096283
"Kiki's Delivery Service",1989,7,tt0097814
"Pinocchio",1940,7,tt0032910
"The Little Mermaid",1989,7,tt0097757
"Beauty and the Beast",1991,7,tt0101414
"A Bug's Life",1998,7,tt0120623
"Tarzan",1999,8,tt0120855
"The Emperor's New Groove",2000,8,tt0120917
"Home on the Range",2004,5,tt0299172
"Pocahontas",1995,7,tt0114148
"Brother Bear",2003,7,tt0328880
"Tarzan II",2005,5,tt0437503
"The Fox and the Hound",1981,7,tt0082406
"Lilo & Stitch",2002,8,tt0275847
"Hercules",1997,7,tt0119282
"Treasure Planet",2002,8,tt0133240
"Atlantis: The Lost Empire",2001,7,tt0230011
"The Prince of Egypt",1998,7,tt0120794
"Homeward Bound: The Incredible Journey",1993,8,tt0107131
"The Parent Trap",1998,6,tt0120783
"King Kong",2005,8,tt0360717
"The Master",2012,7,tt1560747
"The Village",2004,7,tt0368447
"In the Valley of Elah",2007,7,tt0478134
"The Nice Guys",2016,7,tt3799694
"The Man Who Wasn't There",2001,8,tt0243133
"Blood Simple",1984,7,tt0086979
"Hail, Caesar!",2016,6,tt0475290
"A Serious Man",2009,7,tt1019452
"Citizen Kane",1941,7,tt0033467
"Casablanca",1942,7,tt0034583
"Dr. Strangelove",1964,8,tt0057012
"Paths of Glory",1957,7,tt0050825
"Van Helsing",2004,6,tt0338526
"The Golden Compass",2007,5,tt0385752
"The Mummy Returns",2001,5,tt0209163
"Troy",2004,7,tt0332452
"Pirates of the Caribbean: The Curse of the Black Pearl",2003,7,tt0325980
"The Lord of the Rings: The Return of the King (Extended Edition)",2004,10,None
"The Lord of The Rings: The Two Towers (Extended Edition)",2003,10,None
"Winter's Bone",2010,6,tt1399683
"The Lord of the Rings: The Fellowship of the Ring (Extended Edition)",2002,10,None
"Split",2016,7,tt4972582
"Roma",2018,7,tt6155172
"Gandhi",1982,7,tt0083987
"Moonrise Kingdom",2012,8,tt1748122
"The Assassination of Jesse James by the Coward Robert Ford",2007,8,tt0443680
"My Name Is Nobody",1973,7,tt0070215
"They Call Me Trinity",1970,7,tt0067355
"Gremlins",1984,7,tt0087363
"Wonder Woman",2017,6,tt0451279
"Eternals",2021,5,tt9032400
"A Quiet Place",2018,7,tt6644200
"The Hangover",2009,6,tt1119646
"Cold Mountain",2003,6,tt0159365
"Crash",2005,7,tt0375679
"Lawless",2012,7,tt1212450
"The Conjuring",2013,7,tt1457767
"The Blind Side",2009,7,tt0878804
"Bridge to Terabithia",2007,7,tt0398808
"Raging Bull",1980,8,tt0081398
"Guardians of the Galaxy",2014,8,tt2015381
"Little Miss Sunshine",2006,7,tt0449059
"Donnie Darko",2001,8,tt0246578
"Léon: The Professional",1994,7,tt0110413
"The Usual Suspects",1995,8,tt0114814
"Jaws",1975,7,tt0073195
"Inglourious Basterds",2009,8,tt0361748
"Heat",1995,7,tt0113277
"Up",2009,8,tt1049413
"Braveheart",1995,6,tt0112573
"The Sting",1973,7,tt0070735
"12 Angry Men",1957,8,tt0050083
"The Fifth Element",1997,7,tt0119116
"Shutter Island",2010,7,tt1130884
"Independence Day",1996,6,tt0116629
"Bone Tomahawk",2015,7,tt2494362
"Con Air",1997,7,tt0118880
"Ninjababy",2021,7,tt13821562
"Road to Perdition",2002,7,tt0257044
"The Expendables",2010,6,tt1320253
"Ocean's Thirteen",2007,7,tt0496806
"Independence Day: Resurgence",2016,5,tt1628841
"The Lost World: Jurassic Park",1997,7,tt0119567
"You've Got Mail",1998,6,tt0128853
"The Fast and the Furious: Tokyo Drift",2006,6,tt0463985
"Sausage Party",2016,5,tt1700841
"The Matrix Revolutions",2003,7,tt0242653
"American Sniper",2014,6,tt2179136
"2 Fast 2 Furious",2003,5,tt0322259
"Charlie and the Chocolate Factory",2005,6,tt0367594
"Justice League",2017,5,tt0974015
"Dark Phoenix",2019,5,tt6565702
"Natural Born Killers",1994,6,tt0110632
"The Incredible Hulk",2008,5,tt0800080
"Rush Hour",1998,6,tt0120812
"Bad Boys",1995,6,tt0112442
"The Florida Project",2017,7,tt5649144
"The Italian Job",2003,7,tt0317740
"Inside Llewyn Davis",2013,6,tt2042568
"Tomb Raider",2018,4,tt1365519
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan",2006,7,tt0443453
"National Treasure",2004,6,tt0368891
"Beverly Hills Cop",1984,7,tt0086960
"The Wrestler",2008,7,tt1125849
"Polar",2019,2,tt4139588
"Taken 2",2012,4,tt1397280
"Alien: Covenant",2017,7,tt2316204
"Collateral",2004,7,tt0369339
"It Follows",2014,6,tt3235888
"Fast & Furious",2009,7,tt1013752
"The Fate of the Furious",2017,7,tt4630562
"The Day After Tomorrow",2004,6,tt0319262
"True Grit",2010,7,tt1403865
"Adaptation.",2002,6,tt0268126
"Mission: Impossible",1996,7,tt0117060
"Cloverfield",2008,6,tt1060277
"TRON: Legacy",2010,6,tt1104001
"The Da Vinci Code",2006,6,tt0382625
"Coming to America",1988,6,tt0094898
"Spectre",2015,6,tt2379713
"The Fighter",2010,7,tt0964517
"Mr. & Mrs. Smith",2005,6,tt0356910
"Jack Reacher",2012,4,tt0790724
"Kong: Skull Island",2017,7,tt3731562
"Mission: Impossible - Rogue Nation",2015,7,tt2381249
"Kingsman: The Golden Circle",2017,6,tt4649466
"Suicide Squad",2016,5,tt1386697
"I, Tonya",2017,8,tt5580036
"Batman v Superman: Dawn of Justice",2016,5,tt2975590
"Shrek 2",2004,7,tt0298148
"Utøya: July 22",2018,7,tt7959216
"Ted",2012,5,tt1637725
"American Pie",1999,6,tt0163651
"The Matrix Reloaded",2003,7,tt0234215
