Title,Year,Rating10,imdbID
"Harry Potter and the Sorcerer's Stone",2001,8,tt0241527
"The Martian",2015,7,tt3659388
"Mission: Impossible - Fallout",2018,7,tt4912910
"Deadpool",2016,8,tt1431045
"Avengers: Infinity War",2018,8,tt4154756
"Thor: Love and Thunder",2022,5,tt10648342
"Vice",2018,8,tt6266538
"Titanic",1997,7,tt0120338
"Avatar",2009,7,tt0499549
"Triangle of Sadness",2022,7,tt7322224
"Green Book",2018,8,tt6966692
"Ex Machina",2015,8,tt0470752
"Die Hard",1988,7,tt0095016
"A Fistful of Dollars",1964,8,tt0058461
"Groundhog Day",1993,7,tt0107048
"The Sixth Sense",1999,7,tt0167404
"The Imitation Game",2014,7,tt2084970
"Arrival",2016,9,tt2543164
"Sicario",2015,8,tt3397884
"For a Few Dollars More",1965,8,tt0059578
"The Terminator",1984,8,tt0088247
"Avatar: The Way of Water",2022,6,tt1630029
"The Revenant",2015,8,tt1663202
"Dunkirk",2017,8,tt5013056
"The Lobster",2015,7,tt3464902
"Tenet",2020,8,tt6723592
"Once Upon a Time… in Hollywood",2019,8,tt7131622
"Bohemian Rhapsody",2018,7,tt1727824
"Palm Springs",2020,7,tt9484998
"Spider-Man: No Way Home",2021,8,tt10872600
"Requiem for a Dream",2000,7,tt0180093
"Get Out",2017,8,tt5052448
"The Gentlemen",2019,8,tt8367814
"Dune: Part One",2021,9,tt1160419
"Bullet Train",2022,7,tt12593682
"Everything Everywhere All at Once",2022,7,tt6710474
"Star Wars: Episode II - Attack of the Clones",2002,7,tt0121765
"Star Wars: Episode I - The Phantom Menace",1999,7,tt0120915
"Star Wars: The Last Jedi",2017,6,tt2527336
"Star Wars: The Rise of Skywalker",2019,4,tt2527338
"Rogue One: A Star Wars Story",2016,8,tt3748528
"Solo: A Star Wars Story",2018,7,tt3778644
"Star Wars: Episode III - Revenge of the Sith",2005,7,tt0121766
"Star Wars: The Force Awakens",2015,7,tt2488496
"The Green Mile",1999,9,tt0120689
"It's a Wonderful Life",1946,8,tt0038650
"Fight Club",1999,8,tt0137523
"Men in Black",1997,8,tt0119654
"Whiplash",2014,9,tt2582802
"Three Billboards Outside Ebbing, Missouri",2017,9,tt5027774
"Doctor Strange in the Multiverse of Madness",2022,5,tt9419884
"Top Gun: Maverick",2022,7,tt1745960
"Jojo Rabbit",2019,8,tt2584384
"They Shall Not Grow Old",2018,8,tt7905466
"Muldvarpen - Undercover i Nordkorea",2020,8,tt13243898
"The Big Short",2015,9,tt1596363
"Ocean's Eleven",2001,8,tt0240772
"No Country for Old Men",2007,10,tt0477348
"The Departed",2006,10,tt0407887
"Blade Runner",1982,10,tt0083658
"Blade Runner 2049",2017,10,tt1856101
"Dead Poets Society",1989,7,tt0097165
"In the Name of the Father",1993,8,tt0107207
"Rush",2013,7,tt1979320
"12 Years a Slave",2013,7,tt2024544
"The Man Who Shot Liberty Valance",1962,7,tt0056217
"Into the Wild",2007,9,tt0758758
"Mad Max: Fury Road",2015,9,tt1392190
"Spotlight",2015,8,tt1895587
"The Grand Budapest Hotel",2014,9,tt2278388
"Prisoners",2013,8,tt1392214
"Ford v Ferrari",2019,7,tt1950186
"Platoon",1986,8,tt0091763
"Logan",2017,8,tt3315342
"Life of Brian",1979,8,tt0079470
"Indiana Jones and the Last Crusade",1989,8,tt0097576
"Batman Begins",2005,8,tt0372784
"The Wolf of Wall Street",2013,8,tt0993846
"Pan's Labyrinth",2006,7,tt0457430
"Monty Python and the Holy Grail",1975,7,tt0071853
"Taxi Driver",1976,7,tt0075314
"Vertigo",1958,8,tt0052357
"Snatch",2000,9,tt0208092
"1917",2019,8,tt8579674
"Scarface",1983,7,tt0086250
"The Dark Knight Rises",2012,7,tt1345836
"Princess Mononoke",1997,8,tt0119698
"Apocalypse Now",1979,8,tt0078788
"Gladiator",2000,9,tt0172495
"The Prestige",2006,8,tt0482571
"The Pianist",2002,8,tt0253474
"Joker",2019,8,tt7286456
"Grave of the Fireflies",1988,8,tt0095327
"Watchmen: Motion Comic",2008,8,tt1322240
"Parasite",2019,8,tt6751668
"Interstellar",2014,9,tt0816692
"Forrest Gump",1994,7,tt0109830
"Inception",2010,9,tt1375666
"Good Will Hunting",1997,8,tt0119217
"Trainspotting",1996,8,tt0117951
"12 Monkeys",1995,8,tt0114746
"Moon",2009,8,tt1182345
"Stranger Than Fiction",2006,8,tt0420223
"Apollo 11",2019,9,tt8760684
"Apollo 13",1995,8,tt0112384
"Seven",1995,8,tt0114369
"Kingdom of Heaven",2005,8,tt0320661
"True Romance",1993,8,tt0108399
"Rain Man",1988,8,tt0095953
"King Kong",1933,8,tt0024216
"The Truman Show",1998,7,tt0120382
"Kill the Irishman",2011,7,tt1416801
"Gone with the Wind",1939,8,tt0031381
"Rope",1948,8,tt0040746
"Fear and Loathing in Las Vegas",1998,7,tt0120669
"Toy Story 2",1999,8,tt0120363
"Psycho",1960,8,tt0054215
"Fargo",1996,8,tt0116282
"One Flew Over the Cuckoo's Nest",1975,9,tt0073486
"The Silence of the Lambs",1991,9,tt0102926
"Goodfellas",1990,9,tt0099685
"District 9",2009,8,tt1136608
"Toy Story",1995,9,tt0114709
"The Lion King",1994,10,tt0110357
"Oldboy",2003,8,tt0364569
"Reservoir Dogs",1992,9,tt0105236
"Elling",2001,9,tt0279064
"V for Vendetta",2006,8,tt0434409
"Terminator 2: Judgment Day",1991,9,tt0103064
"Burn After Reading",2008,8,tt0887883
"The Dark Knight",2008,10,tt0468569
"The Godfather: Part II",1974,10,tt0071562
"North by Northwest",1959,8,tt0053125
"The Untouchables",1987,8,tt0094226
"Back to the Future",1985,9,tt0088763
"Alien",1979,9,tt0078748
"Almost Famous",2000,8,tt0181875
"The Matrix",1999,9,tt0133093
"Raiders of the Lost Ark",1981,9,tt0082971
"Rear Window",1954,9,tt0047396
"American History X",1998,8,tt0120586
"Big Fish",2003,9,tt0319061
"Jarhead",2005,8,tt0418763
"American Beauty",1999,8,tt0169547
"The Deer Hunter",1978,9,tt0077416
"Dances with Wolves",1990,9,tt0099348
"The Shining",1980,8,tt0081505
"Barton Fink",1991,8,tt0101410
"Django Unchained",2012,9,tt1853728
"Zodiac",2007,8,tt0443706
"Children of Men",2006,9,tt0206634
"There Will Be Blood",2007,10,tt0469494
"The Good, the Bad and the Ugly",1966,10,tt0060196
"Once Upon a Time in the West",1968,10,tt0064116
"The Big Lebowski",1998,10,tt0118715
"L.A. Confidential",1997,9,tt0119488
"Memento",2000,10,tt0209144
"Schindler's List",1993,9,tt0108052
"The Shawshank Redemption",1994,10,tt0111161
"Saving Private Ryan",1998,10,tt0120815
"The Lord of the Rings: The Fellowship of the Ring",2001,10,tt0120737
"The Lord of the Rings: The Two Towers",2002,10,tt0167261
"The Lord of the Rings: The Return of the King",2003,10,tt0167260
"Jurassic Park",1993,10,tt0107290
"Pulp Fiction",1994,10,tt0110912
"Sunset Blvd.",1950,10,tt0043014
"Return of the Jedi",1983,10,tt0086190
"The Empire Strikes Back",1980,10,tt0080684
"Star Wars",1977,10,tt0076759
